coder_id,manifesto,unit_id,sequence,code
pr9,GB,GB-106,106,506
pr9,GB,GB-107,107,506
jonathan.slapin,GB,GB-001,1,202
jonathan.slapin,GB,GB-002,2,408
jonathan.slapin,GB,GB-003,3,202
jonathan.slapin,GB,GB-004,4,202
jonathan.slapin,GB,GB-005,5,202
jonathan.slapin,GB,GB-006,6,202
jonathan.slapin,GB,GB-007,7,410
jonathan.slapin,GB,GB-008,8,410
jonathan.slapin,GB,GB-009,9,410
jonathan.slapin,GB,GB-010,10,404
jonathan.slapin,GB,GB-011,11,404
jonathan.slapin,GB,GB-012,12,404
jonathan.slapin,GB,GB-013,13,404
jonathan.slapin,GB,GB-014,14,605
jonathan.slapin,GB,GB-015,15,605
jonathan.slapin,GB,GB-016,16,606
jonathan.slapin,GB,GB-017,17,606
jonathan.slapin,GB,GB-018,18,606
jonathan.slapin,GB,GB-019,19,606
jonathan.slapin,GB,GB-020,20,606
jonathan.slapin,GB,GB-021,21,606
jonathan.slapin,GB,GB-022,22,303
jonathan.slapin,GB,GB-023,23,404
jonathan.slapin,GB,GB-024,24,404
jonathan.slapin,GB,GB-025,25,409
jonathan.slapin,GB,GB-026,26,409
jonathan.slapin,GB,GB-027,27,409
jonathan.slapin,GB,GB-028,28,409
jonathan.slapin,GB,GB-029,29,409
jonathan.slapin,GB,GB-030,30,409
jonathan.slapin,GB,GB-031,31,409
jonathan.slapin,GB,GB-032,32,409
jonathan.slapin,GB,GB-033,33,409
jonathan.slapin,GB,GB-034,34,409
jonathan.slapin,GB,GB-035,35,409
jonathan.slapin,GB,GB-036,36,409
jonathan.slapin,GB,GB-037,37,409
jonathan.slapin,GB,GB-038,38,409
jonathan.slapin,GB,GB-039,39,504
jonathan.slapin,GB,GB-040,40,410
jonathan.slapin,GB,GB-041,41,410
jonathan.slapin,GB,GB-042,42,410
jonathan.slapin,GB,GB-043,43,410
jonathan.slapin,GB,GB-044,44,410
jonathan.slapin,GB,GB-045,45,407
jonathan.slapin,GB,GB-046,46,404
jonathan.slapin,GB,GB-047,47,503
jonathan.slapin,GB,GB-048,48,503
jonathan.slapin,GB,GB-049,49,702
jonathan.slapin,GB,GB-050,50,702
jonathan.slapin,GB,GB-051,51,503
jonathan.slapin,GB,GB-052,52,503
jonathan.slapin,GB,GB-053,53,503
jonathan.slapin,GB,GB-054,54,503
jonathan.slapin,GB,GB-055,55,702
jonathan.slapin,GB,GB-056,56,410
jonathan.slapin,GB,GB-057,57,506
jonathan.slapin,GB,GB-058,58,403
jonathan.slapin,GB,GB-059,59,405
jonathan.slapin,GB,GB-060,60,405
jonathan.slapin,GB,GB-061,61,405
jonathan.slapin,GB,GB-062,62,405
jonathan.slapin,GB,GB-063,63,405
jonathan.slapin,GB,GB-064,64,701
jonathan.slapin,GB,GB-065,65,701
jonathan.slapin,GB,GB-066,66,701
jonathan.slapin,GB,GB-067,67,701
jonathan.slapin,GB,GB-068,68,701
jonathan.slapin,GB,GB-069,69,701
jonathan.slapin,GB,GB-070,70,701
jonathan.slapin,GB,GB-071,71,402
jonathan.slapin,GB,GB-072,72,402
jonathan.slapin,GB,GB-073,73,402
jonathan.slapin,GB,GB-074,74,402
jonathan.slapin,GB,GB-075,75,402
jonathan.slapin,GB,GB-076,76,402
jonathan.slapin,GB,GB-077,77,402
jonathan.slapin,GB,GB-078,78,402
jonathan.slapin,GB,GB-079,79,404
jonathan.slapin,GB,GB-080,80,403
jonathan.slapin,GB,GB-081,81,403
jonathan.slapin,GB,GB-082,82,402
jonathan.slapin,GB,GB-083,83,402
jonathan.slapin,GB,GB-084,84,402
jonathan.slapin,GB,GB-085,85,402
jonathan.slapin,GB,GB-086,86,402
jonathan.slapin,GB,GB-087,87,402
jonathan.slapin,GB,GB-088,88,402
jonathan.slapin,GB,GB-089,89,402
jonathan.slapin,GB,GB-090,90,402
jonathan.slapin,GB,GB-091,91,402
jonathan.slapin,GB,GB-092,92,703
