unit_id,manifesto,sequence,master_code,master_rile,full_class_n,full_class_cat_distinct,full_class_cat_modal_share,full_class_cat_1mmodal,full_class_cat_Hnorm,full_class_dom_1mmodal,full_class_rile_1mmodal,full_class_rile_distinct,full_class_rile_modal,full_exclude_n,full_exclude_cat_distinct,full_exclude_cat_modal_share,full_exclude_cat_1mmodal,full_exclude_cat_Hnorm,full_exclude_dom_1mmodal,full_exclude_rile_1mmodal,full_exclude_rile_distinct,full_exclude_rile_modal,retained_class_n,retained_class_cat_distinct,retained_class_cat_modal_share,retained_class_cat_1mmodal,retained_class_cat_Hnorm,retained_class_dom_1mmodal,retained_class_rile_1mmodal,retained_class_rile_distinct,retained_class_rile_modal,retained_exclude_n,retained_exclude_cat_distinct,retained_exclude_cat_modal_share,retained_exclude_cat_1mmodal,retained_exclude_cat_Hnorm,retained_exclude_dom_1mmodal,retained_exclude_rile_1mmodal,retained_exclude_rile_distinct,retained_exclude_rile_modal
GB-011,GB,11,305,right,32,15,0.28125,0.71875,0.6747556248918266,0.34375,0.375,3,right,30,14,0.3,0.7,0.660075975186874,0.30000000000000004,0.33333333333333337,3,right,17,8,0.35294117647058826,0.6470588235294117,0.6328835126986732,0.2941176470588235,0.23529411764705888,3,right,17,8,0.35294117647058826,0.6470588235294117,0.6328835126986732,0.2941176470588235,0.23529411764705888,3,right
GB-012,GB,12,305,right,32,10,0.40625,0.59375,0.5351851322354712,0.59375,0.46875,3,right,26,9,0.5,0.5,0.5183707239883868,0.5,0.34615384615384615,3,right,17,8,0.4117647058823529,0.5882352941176471,0.6308441424760591,0.5882352941176471,0.47058823529411764,3,right,16,7,0.4375,0.5625,0.5991955553999495,0.5625,0.4375,3,right
GB-013,GB,13,606,right,32,8,0.34375,0.65625,0.481577495033804,0.46875,0.5,3,none,32,8,0.34375,0.65625,0.481577495033804,0.46875,0.5,3,none,17,6,0.35294117647058826,0.6470588235294117,0.5521540078069492,0.47058823529411764,0.5294117647058824,3,right,17,6,0.35294117647058826,0.6470588235294117,0.5521540078069492,0.47058823529411764,0.5294117647058824,3,right
GB-014,GB,14,606,right,32,9,0.625,0.375,0.39725898813907967,0.15625,0.21875,2,right,31,8,0.6451612903225806,0.3548387096774194,0.37206336676285223,0.12903225806451613,0.19354838709677424,2,right,17,5,0.7647058823529411,0.23529411764705888,0.30770061290897416,0.11764705882352944,0.05882352941176472,2,right,17,5,0.7647058823529411,0.23529411764705888,0.30770061290897416,0.11764705882352944,0.05882352941176472,2,right
GB-015,GB,15,606,right,32,5,0.46875,0.53125,0.335138772219093,0.03125,0.15625,2,right,32,5,0.46875,0.53125,0.335138772219093,0.03125,0.15625,2,right,17,3,0.5882352941176471,0.4117647058823529,0.29873000259647725,0.05882352941176472,0.05882352941176472,2,right,17,3,0.5882352941176471,0.4117647058823529,0.29873000259647725,0.05882352941176472,0.05882352941176472,2,right
GB-016,GB,16,606,right,32,12,0.25,0.75,0.6255240814944147,0.59375,0.4375,3,right,30,11,0.26666666666666666,0.7333333333333334,0.6065658700934667,0.5666666666666667,0.4,3,right,17,6,0.4117647058823529,0.5882352941176471,0.5444968923166851,0.5294117647058824,0.23529411764705888,3,right,17,6,0.4117647058823529,0.5882352941176471,0.5444968923166851,0.5294117647058824,0.23529411764705888,3,right
GB-017,GB,17,606,right,32,8,0.5625,0.4375,0.4042292966721748,0.34375,0.1875,2,right,29,7,0.6206896551724138,0.3793103448275862,0.3571302271236129,0.27586206896551724,0.10344827586206895,2,right,17,4,0.7058823529411765,0.2941176470588235,0.3124681155050132,0.2941176470588235,0.05882352941176472,2,right,16,3,0.75,0.25,0.253524413893479,0.25,0.0,1,right
GB-018,GB,18,606,right,32,8,0.59375,0.40625,0.3932803079248225,0.28125,0.1875,2,right,31,7,0.6129032258064516,0.3870967741935484,0.36791837080388407,0.25806451612903225,0.16129032258064513,2,right,17,3,0.7058823529411765,0.2941176470588235,0.2657670253973463,0.2941176470588235,0.0,1,right,17,3,0.7058823529411765,0.2941176470588235,0.2657670253973463,0.2941176470588235,0.0,1,right
GB-019,GB,19,606,right,32,8,0.5625,0.4375,0.40894734356069656,0.40625,0.21875,3,right,31,7,0.5806451612903226,0.4193548387096774,0.38424031574607953,0.3870967741935484,0.19354838709677424,3,right,17,3,0.7058823529411765,0.2941176470588235,0.2657670253973463,0.2941176470588235,0.05882352941176472,2,right,17,3,0.7058823529411765,0.2941176470588235,0.2657670253973463,0.2941176470588235,0.05882352941176472,2,right
GB-020,GB,20,606,right,32,5,0.5625,0.4375,0.34338343733773985,0.4375,0.1875,3,right,30,4,0.6,0.4,0.29990525216250513,0.4,0.1333333333333333,3,right,17,4,0.6470588235294118,0.3529411764705882,0.33723091958401036,0.3529411764705882,0.11764705882352944,3,right,16,3,0.6875,0.3125,0.28041019054671457,0.3125,0.0625,2,right
GB-021,GB,21,606,right,32,7,0.53125,0.46875,0.39621072637487803,0.3125,0.40625,2,right,32,7,0.53125,0.46875,0.39621072637487803,0.3125,0.40625,2,right,17,3,0.7058823529411765,0.2941176470588235,0.2657670253973463,0.23529411764705888,0.2941176470588235,2,right,17,3,0.7058823529411765,0.2941176470588235,0.2657670253973463,0.23529411764705888,0.2941176470588235,2,right
GB-022,GB,22,202,left,32,7,0.53125,0.46875,0.4062709793401081,0.46875,0.46875,3,left,31,6,0.5483870967741935,0.4516129032258065,0.38145207485169613,0.4516129032258065,0.4516129032258065,3,left,17,4,0.5882352941176471,0.4117647058823529,0.3850772527558512,0.4117647058823529,0.4117647058823529,3,left,17,4,0.5882352941176471,0.4117647058823529,0.3850772527558512,0.4117647058823529,0.4117647058823529,3,left
GB-023,GB,23,305,right,32,10,0.375,0.625,0.54669171866887,0.21875,0.46875,3,none,32,10,0.375,0.625,0.54669171866887,0.21875,0.46875,3,none,17,8,0.35294117647058826,0.6470588235294117,0.6328835126986733,0.23529411764705888,0.47058823529411764,3,none,17,8,0.35294117647058826,0.6470588235294117,0.6328835126986733,0.23529411764705888,0.47058823529411764,3,none
GB-024,GB,24,305,right,32,10,0.28125,0.71875,0.5591917186688699,0.15625,0.46875,3,none,32,10,0.28125,0.71875,0.5591917186688699,0.15625,0.46875,3,none,17,7,0.35294117647058826,0.6470588235294117,0.5932373526469663,0.11764705882352944,0.47058823529411764,3,none,17,7,0.35294117647058826,0.6470588235294117,0.5932373526469663,0.11764705882352944,0.47058823529411764,3,none
GB-025,GB,25,408,none,32,6,0.4375,0.5625,0.40742035054291625,0.25,0.3125,3,none,32,6,0.4375,0.5625,0.40742035054291625,0.25,0.3125,3,none,17,5,0.5882352941176471,0.4117647058823529,0.4247234128075582,0.11764705882352944,0.17647058823529416,2,none,17,5,0.5882352941176471,0.4117647058823529,0.4247234128075582,0.11764705882352944,0.17647058823529416,2,none
GB-026,GB,26,408,none,32,7,0.34375,0.65625,0.4523920586603283,0.46875,0.34375,2,none,30,6,0.36666666666666664,0.6333333333333333,0.41838747677961485,0.43333333333333335,0.3666666666666667,2,none,17,4,0.5882352941176471,0.4117647058823529,0.3959409960877668,0.17647058823529416,0.17647058823529416,2,none,17,4,0.5882352941176471,0.4117647058823529,0.3959409960877668,0.17647058823529416,0.17647058823529416,2,none
GB-027,GB,27,701,left,32,9,0.3125,0.6875,0.5651011942157881,0.59375,0.34375,3,none,28,8,0.35714285714285715,0.6428571428571428,0.542488170106447,0.5357142857142857,0.3928571428571429,3,none,17,7,0.29411764705882354,0.7058823529411764,0.6314463279103631,0.5294117647058824,0.23529411764705888,2,none,16,6,0.3125,0.6875,0.5998493675869248,0.5,0.25,2,none
